feature,importance,method
discharge_rate_mean,0.0002317182680684867,permutation
discharge_rate_std,0.00016450370927137675,permutation
mean_dod_mean,0.003465564381206995,permutation
mean_dod_std,0.00014678084869937396,permutation
efc_mean,0.0,permutation
efc_std,0.0,permutation
Q_discharge_slope,0.0012248327998752753,permutation
Q_discharge_intercept,0.0002901210541615495,permutation
SoH_slope,0.030349937696630226,permutation
Q_early_drop,0.0008850163421683106,permutation
SoH_early_drop,0.00015063785641219202,permutation
ce_trend,0.0002782552765573326,permutation
ic_peak_shift,0.0,permutation
cycle_position,0.16234651190612054,permutation
