model,config,global_R2,global_MAE,global_RMSE,global_MAPE,mean_cell_R2,mean_cell_MAE,mean_cell_RMSE,mean_cell_MAPE,n_cells,split,n_early,feature_set,n_features,eval_mode,best_params,train_time_sec,predict_time_sec,n_train_cells,n_test_cells
XGBoost,combined_80_20_n3_all,0.8759077539411118,0.03243724126300864,0.04979905259700605,4.746626980722341,0.8626001095832376,0.03243740443891239,0.043965086538403385,4.746234166578349,55,combined_80_20,3,all,48,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",24.68,1.1159,217,55
GradBoost,combined_80_20_n3_all,0.8847091696656672,0.03067065640356773,0.04800054202055984,4.586959497863702,0.8745971918220203,0.030672492495989856,0.042480234230524015,4.586711448684256,55,combined_80_20,3,all,48,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.03}",369.47,0.9882,217,55
LightGBM,combined_80_20_n5_top3,0.790835144656673,0.041640037202770215,0.06458531194486453,6.044664994480675,0.7733010651299068,0.04164922197496775,0.05639075593426633,6.046690294310637,55,combined_80_20,5,top3,3,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",10.03,1.2348,217,55
XGBoost,combined_80_20_n5_top3,0.8125301216629511,0.03962083857174559,0.06114418393644138,5.747620929294679,0.7984357971963539,0.03962395342806988,0.052748731020200855,5.748886308880839,55,combined_80_20,5,top3,3,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",5.18,1.1399,217,55
GradBoost,combined_80_20_n5_top3,0.8247032496633951,0.03789468599526153,0.05912570563569918,5.559745130139582,0.8145369438722079,0.037907231942775725,0.050943836513773384,5.562284894923924,55,combined_80_20,5,top3,3,combined,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 10, ""max_features"": 0.8, ""max_depth"": 4, ""learning_rate"": 0.03}",114.21,1.1249,217,55
LightGBM,combined_80_20_n5_top5,0.9002076016350736,0.02820051327114623,0.044610607194951385,4.225845318960561,0.8864017416668524,0.028222622080523042,0.03937216565386793,4.229399231549319,55,combined_80_20,5,top5,5,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",12.37,1.3431,217,55
XGBoost,combined_80_20_n5_top5,0.8928992416633242,0.030429516259903065,0.04621528943095434,4.527003626218876,0.8763122589149066,0.03044471907004131,0.04126591147554123,4.530135534124627,55,combined_80_20,5,top5,5,combined,"{""subsample"": 1.0, ""reg_lambda"": 0.01, ""reg_alpha"": 0.01, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.01, ""colsample_bytree"": 0.9}",6.55,1.254,217,55
GradBoost,combined_80_20_n5_top5,0.9101912138557655,0.026501612168145942,0.04232030778195241,3.9562796791947457,0.8923507042740269,0.026540121200922345,0.036505045568481186,3.9621377931891497,55,combined_80_20,5,top5,5,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.8, ""max_depth"": 5, ""learning_rate"": 0.05}",138.18,0.8809,217,55
LightGBM,combined_80_20_n5_top10,0.8952893309720418,0.02890371653263213,0.04569670347071741,4.3242986471774225,0.8871966006851612,0.028916374392882926,0.040233793964824544,4.326476997737718,55,combined_80_20,5,top10,10,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",20.66,1.2808,217,55
XGBoost,combined_80_20_n5_top10,0.8929663857233479,0.02916605145854462,0.04620080041744212,4.350869892109921,0.8819430692755637,0.029187869436556945,0.04014233003501886,4.354435201103203,55,combined_80_20,5,top10,10,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",8.27,1.2542,217,55
GradBoost,combined_80_20_n5_top10,0.8907768231901727,0.030065670453364293,0.04667096774635937,4.439754729032623,0.8779554675921517,0.03008340160136497,0.041154279866249886,4.442582588722712,55,combined_80_20,5,top10,10,combined,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.1}",164.72,0.7076,217,55
LightGBM,combined_80_20_n5_top20,0.8907757338780765,0.029870509005570478,0.046671200476831216,4.43848334836378,0.8818426328987311,0.029876171193441322,0.041250368094841866,4.439659526719674,55,combined_80_20,5,top20,20,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",19.57,1.2003,217,55
XGBoost,combined_80_20_n5_top20,0.886973969295339,0.03050466875489401,0.04747649424552347,4.49275249242262,0.8735142053321627,0.030523333785755953,0.04165112004124548,4.495739615702356,55,combined_80_20,5,top20,20,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",13.76,1.2688,217,55
GradBoost,combined_80_20_n5_top20,0.8857848711614879,0.030358897010902414,0.04772558068923222,4.499476239689879,0.8710513375444792,0.030376012361288,0.04172174470600052,4.502341192346596,55,combined_80_20,5,top20,20,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.8, ""max_depth"": 5, ""learning_rate"": 0.05}",251.69,0.8285,217,55
LightGBM,combined_80_20_n5_all,0.885989427101217,0.030699353113145145,0.047682823980311616,4.561051262087619,0.8759022209096873,0.03070186728764384,0.042148818417945814,4.561844087838022,55,combined_80_20,5,all,48,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",26.04,1.1913,217,55
XGBoost,combined_80_20_n5_all,0.8702834795444951,0.03305251118943469,0.05086125234951598,4.817404300826548,0.8565897563900066,0.03306743682650664,0.04452236427769319,4.819653823745033,55,combined_80_20,5,all,48,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",23.61,1.2466,217,55
GradBoost,combined_80_20_n5_all,0.8845770999096194,0.030823362894037698,0.04797725488583529,4.575922720150008,0.8722378361051945,0.030835788411341686,0.042532352813924014,4.57816473267129,55,combined_80_20,5,all,48,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.03}",356.52,0.8647,217,55
LightGBM,combined_80_20_n10_top3,0.8076981357446236,0.04071678881870204,0.06181513511946086,5.9397397706329995,0.7953419255063947,0.040720740727281456,0.05383538003765563,5.942827535281009,55,combined_80_20,10,top3,3,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 200, ""min_child_samples"": 10, ""max_depth"": 8, ""learning_rate"": 0.03, ""colsample_bytree"": 1.0}",9.74,1.1784,217,55
XGBoost,combined_80_20_n10_top3,0.8098549065511869,0.0396874158120698,0.06146751236581977,5.790213180331906,0.7951775982733851,0.03970254939749933,0.05291426478836131,5.794915957439955,55,combined_80_20,10,top3,3,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",5.17,1.1457,217,55
GradBoost,combined_80_20_n10_top3,0.8222680732107626,0.03815479079618235,0.05942727277962885,5.57727016393716,0.8080901917414296,0.038188548705675396,0.05114421843380224,5.584160615529243,55,combined_80_20,10,top3,3,combined,"{""subsample"": 0.7, ""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.05}",113.8,1.078,217,55
LightGBM,combined_80_20_n10_top5,0.8999134379796753,0.028458022774732812,0.04459549217785048,4.262388281546792,0.8838904431238924,0.028498822172033922,0.039674814570870666,4.269380014122249,55,combined_80_20,10,top5,5,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",14.16,1.5154,217,55
XGBoost,combined_80_20_n10_top5,0.892516361747163,0.030112026084331087,0.046214073949355665,4.452927479791728,0.8707267775035783,0.030165501141755934,0.04131641494982952,4.461811925359359,55,combined_80_20,10,top5,5,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",6.44,1.1895,217,55
GradBoost,combined_80_20_n10_top5,0.8918719028954848,0.029031400519292577,0.046352413881533036,4.3831034980674906,0.875645784381808,0.029096398007960034,0.040152409324175665,4.393719890530038,55,combined_80_20,10,top5,5,combined,"{""subsample"": 0.9, ""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": 0.8, ""max_depth"": 5, ""learning_rate"": 0.1}",132.82,0.9954,217,55
LightGBM,combined_80_20_n10_top10,0.8852034198237103,0.030388452849787497,0.047760355513734816,4.522933121420985,0.8776143341125165,0.03040558485060518,0.04193836248177791,4.526450834595013,55,combined_80_20,10,top10,10,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",14.97,1.3995,217,55
XGBoost,combined_80_20_n10_top10,0.8786197488552394,0.03078927153758871,0.04911080936324766,4.547490486716179,0.867775527690597,0.030837231429540916,0.04185274045606142,4.555320219963509,55,combined_80_20,10,top10,10,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",8.79,1.3287,217,55
GradBoost,combined_80_20_n10_top10,0.887525677517427,0.03041506267343749,0.047274807437281574,4.528964584646408,0.8756032361778988,0.030444567922712783,0.04159567223410563,4.534737491498009,55,combined_80_20,10,top10,10,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.03}",177.32,1.1831,217,55
LightGBM,combined_80_20_n10_top20,0.8813693785691736,0.03077261992444266,0.048551368793483624,4.566542052750936,0.8693172243897801,0.03079724610067562,0.042782433157054996,4.571090972030877,55,combined_80_20,10,top20,20,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",20.23,1.2151,217,55
XGBoost,combined_80_20_n10_top20,0.8818001914935498,0.030789284273914145,0.04846313027059771,4.552004016888439,0.8711458708100398,0.030833174661835865,0.04191683235152535,4.559361826620419,55,combined_80_20,10,top20,20,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",14.29,1.2235,217,55
GradBoost,combined_80_20_n10_top20,0.8913229265555181,0.029963087678128855,0.0464699326510751,4.475940828079512,0.8781505255866129,0.030004382293529783,0.041026073456227725,4.483153395224726,55,combined_80_20,10,top20,20,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.03}",260.04,0.7246,217,55
LightGBM,combined_80_20_n10_all,0.859895690898317,0.0343189806408751,0.05276291997976034,5.0317814474434925,0.8470586220716176,0.03433942416990011,0.046679077800854236,5.035811307809202,55,combined_80_20,10,all,48,combined,"{""subsample"": 1.0, ""reg_lambda"": 0.01, ""reg_alpha"": 0.01, ""num_leaves"": 63, ""n_estimators"": 300, ""min_child_samples"": 30, ""max_depth"": 5, ""learning_rate"": 0.03, ""colsample_bytree"": 0.9}",29.74,1.2137,217,55
